tanglish,tamil
rraailwaay sdhadhioon eppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vedhla ezhzharoom eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yennaa paanrraa,என்ன பண்ற?
ooyir nazhzha vazhum,உயிர் நல்லா வாழும்.
slaass eppoo arampam,வகுப்பு எப்போ ஆரம்பம்?
raailwaay sdhadhioon epoo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla ezhzharoom epdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
soolren nalla kedhooko,சொல்றேன் நல்லா கேட்டுக்கோ.
yoffeese pooidhu varren,அலுவலகம் போயிட்டு வர்றேன்.
pus sdhand yenkaa iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethla ellarrum ebdee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus sdaand enkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
soomment paanungaa maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
saantoshaam perumaee,சந்தோஷம் பெருமை.
raeezhway staation epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa yelaarum yepdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
semaa photo proo,செம படம் ப்ரோ.
naanpaa eptee irugaa,நண்பா எப்படி இருக்க?
eenneegu weezhai eerugu,இன்னைக்கு வேலை இருக்கு.
ooyirr nalla waalum,உயிர் நல்லா வாழும்.
raizhway sdhadhion eepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay staation epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
viddookoo epo wara,வீட்டுக்கு எப்போ வர?
rraailwaay sdadeeon yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeelway sdhadhion yeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veetzha yellaarrum eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
coolege eepo mutiyum,கல்லூரி எப்போ முடியும்?
vittugu ebo vaaraa,வீட்டுக்கு எப்போ வர?
offeese poidhoo waarrrren,அலுவலகம் போயிட்டு வர்றேன்.
offise pooidhu waarrrren,அலுவலகம் போயிட்டு வர்றேன்.
witla yellaarrum yepdi irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha ezhzharoom epdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vibe nalla iroogoo,வைப் நல்லா இருக்கு.
raizhway stateeon eepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway stateeon yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdadeeon eepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdhaadhion ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
commeend paanungaa makkale,கமெண்ட் பண்ணுங்க மக்களே.
offeese poidu vareen,அலுவலகம் போயிட்டு வர்றேன்.
yeenagu pureeyala,எனக்கு புரியல.
raailwaay staation epoo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdhaadhion eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellarrum yepdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yeexam semaa toough,தேர்வு செம கடினம்.
aapaa yebboo warraanga,அப்பா எப்போ வர்றாங்க?
wedu wezhai mutinjaatu,வீட்டு வேலை முடிஞ்சது.
vedhla yelaarum yeepti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
colege eppo mudeeyum,கல்லூரி எப்போ முடியும்?
raaizhwaay sdhadhion eepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
drendeeng videeo atu,டிரெண்டிங் வீடியோ அது.
bus sdhand yeenga eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
paali kooootam poonoom,பள்ளி கூடம் போனோம்.
coomment panunka makkazhee,கமெண்ட் பண்ணுங்க மக்களே.
cozhzheegee eepo mudeeyum,கல்லூரி எப்போ முடியும்?
weeeedu weezhai mudinjadhu,வீட்டு வேலை முடிஞ்சது.
sarri aabbraam paarrkalam,சரி அப்புறம் பார்க்கலாம்.
prroject reeady panrra,புராஜெக்ட் ரெடி பண்றா.
thhalaeevare geethhu,தலைவரே கெத்து.
rraeelway sdadion eepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway staation yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdhadhion eppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla ellarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
waazhkaaiyizh veethri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
eenneeku veezhai eerruku,இன்னைக்கு வேலை இருக்கு.
vidhdhuku epo varra,வீட்டுக்கு எப்போ வர?
wazhkaiyizh veethri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
eepti irookinga,எப்படி இருக்கீங்க?
veetzha yelaarum epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha yellaarrum yeptee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdhaadhion eppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yattendanse wandhoocha,வருகைப்பதிவு வந்துச்சா?
railway staation yepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
boos staant enka irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
solren naalaa kethukoo,சொல்றேன் நல்லா கேட்டுக்கோ.
enka bora,எங்க போற?
eeneeku velaee iroogoo,இன்னைக்கு வேலை இருக்கு.
wazhkaeeyeezh vethri peroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
rraeelway sdadeeon epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdadeeon eeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdadion eeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraailwaay sdadioon ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rombaa sandhosam,ரொம்ப சந்தோஷம்.
veethla ezhzharoom eebdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
naan nazhzha iruken,நான் நல்லா இருக்கேன்
bus sdaand enkaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pus sdhand yeenga iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
thaangaachi enga bona,தங்கச்சி எங்க போன?
raailwaay staation ebbo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
projecth reaty paanrraa,புராஜெக்ட் ரெடி பண்றா.
nampeekaee dhaan yeellam,நம்பிக்கை தான் எல்லாம்.
raeelway sdadioon ebbo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yassiknmeent ezhudhithiya,அசைன்மென்ட் எழுதிட்டியா?
yaaaamaa atoo dhaaaan,ஆமா அது தான்.
naanpaa yepdi eeruga,நண்பா எப்படி இருக்க?
nethu eenga pona,நேத்து எங்க போன?
railway sdhadhioon epoo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdhaadhion eepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdadioon yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
class yeepo aarampam,வகுப்பு எப்போ ஆரம்பம்?
roomba kaavaalaaiyaa irugu,ரொம்ப கவலையா இருக்கு.
railway staation eeppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yoffeece poidhu waarrrren,அலுவலகம் போயிட்டு வர்றேன்.
witla yellaroom yeptee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdadioon yeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
